Name,Price,Description,Warnings,Category 1,Category 2,Category 3,Language
Opti-Free Express Mult-Purpose Disinfecting Solution,68.0,कॉन्टैक्ट लेंस को कीटाणुरहित और स्टोर करता है।,उचित लेंस देखभाल के लिए निर्देशों का पालन करें।,नेत्र देखभाल,कॉन्टैक्ट लेंस से संबंधित मुद्दे,कॉन्टैक्ट लेंस सॉल्यूशन प्रकार,Hindi
Max Zinc Oxide Tape 7.5cm,13.0,चोटों के लिए समर्थन और संपीड़न प्रदान करता है।,उचित आवेदन के लिए एक स्वास्थ्य देखभाल पेशेवर से परामर्श लें।,प्राथमिक चिकित्सा,घाव की देखभाल,स्प्रे,Hindi
Max Zinc Oxide Tape 2.5cm,5.0,चोटों के लिए समर्थन और संपीड़न प्रदान करता है।,उचित आवेदन के लिए एक स्वास्थ्य देखभाल पेशेवर से परामर्श लें।,प्राथमिक चिकित्सा,घाव की देखभाल,स्प्रे,Hindi
Telfast 180mg,56.0,एलर्जी के लक्षणों से तेजी से राहत प्रदान करता है।,उनींदापन हो सकता है। अनुशंसित खुराक से अधिक न लें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Telfast 120mg,53.5,एलर्जी के लक्षणों से तेजी से राहत प्रदान करता है।,उनींदापन हो सकता है। अनुशंसित खुराक से अधिक न लें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Vicks Steam Inhaler,30.0,नाक की भीड़ और खांसी के लिए सुखदायक भाप राहत प्रदान करता है।,सावधानी से प्रयोग करें। निर्देशों का सावधानीपूर्वक पालन करें।,"खांसी, सर्दी और फ्लू",नाक बंद होना,स्प्रे,Hindi
Prospan Cough Syrup,55.0,खांसी से राहत मिलती है और बलगम ढीला होता है।,यदि लक्षण बिगड़ते हैं या बने रहते हैं तो एक स्वास्थ्य देखभाल पेशेवर से परामर्श लें।,"खांसी, सर्दी और फ्लू",खांसी,सिरप/तरल,Hindi
Gaviscon Peppermint 500mg,28.5,पेपरमिंट स्वाद के साथ हार्टबर्न और अपच से राहत दिलाता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,पाचन स्वास्थ्य,एसिड रिफ्लक्स/हार्टबर्न,गोलियाँ,Hindi
Panadol Advance Optizorb,43.0,"सिरदर्द, मांसपेशियों में दर्द और बुखार के लिए तेजी से दर्द से राहत।",अनुशंसित खुराक से अधिक न लें। यदि दर्द बना रहता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
Dermatix Gel,150.0,निशानों की उपस्थिति को कम करता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। बच्चों की पहुंच से दूर रखें।,त्वचा की देखभाल,निशान,जेल,Hindi
"Medi Gauze Swab 4x4""",35.0,घाव की सफाई और ड्रेसिंग के लिए बाँझ धुंध स्वाब।,बाँझ जब तक पैकेज खोला या क्षतिग्रस्त न हो।,प्राथमिक चिकित्सा,घाव की देखभाल,स्प्रे,Hindi
"Medi Gauze Swab 3x3""",19.5,घाव की सफाई और ड्रेसिंग के लिए बाँझ धुंध स्वाब।,बाँझ जब तक पैकेज खोला या क्षतिग्रस्त न हो।,प्राथमिक चिकित्सा,घाव की देखभाल,स्प्रे,Hindi
Panadol Cold+Flu Day,15.0,दिन के दौरान सर्दी और फ्लू के लक्षणों से राहत दिलाता है।,नींद आ सकती है। अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",सर्दी,गोलियाँ,Hindi
Advil Cold & Sinus,15.0,"सर्दी और साइनस की भीड़, सिरदर्द और शरीर के दर्द से राहत दिलाता है।",अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",साइनस का दबाव,गोलियाँ,Hindi
Panadol Sinus,13.5,साइनस के दर्द और भीड़ से राहत दिलाता है।,अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,एलर्जी और साइनस,साइनस का दबाव/दर्द,गोलियाँ,Hindi
Panadol Cold+Flu,13.0,सर्दी और फ्लू के लक्षणों से राहत दिलाता है।,नींद आ सकती है। अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",फ्लू,गोलियाँ,Hindi
Panadol Actifast,14.5,"सिरदर्द, मांसपेशियों में दर्द और बुखार के लिए तेजी से दर्द से राहत।",अनुशंसित खुराक से अधिक न लें। यदि दर्द बना रहता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
3M Nexcare Waterproof Bandages Assorted,20.3,मामूली कटौती और खरोंच की सुरक्षा के लिए जलरोधक पट्टियाँ।,"यदि जलन होती है, तो उपयोग बंद कर दें।",प्राथमिक चिकित्सा,घाव की देखभाल,स्प्रे,Hindi
Betadine 10% Povidone Iodine Wound Healing Ointment,53.0,मामूली घावों को ठीक करने और संक्रमण को रोकने में मदद करने के लिए एंटीसेप्टिक मरहम।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। बच्चों की पहुंच से दूर रखें।,प्राथमिक चिकित्सा,घाव की देखभाल,क्रीम/मरहम,Hindi
Movicol Oral Solution Sachet,75.0,आसान उपयोग वाले मौखिक घोल के साथ कब्ज से राहत दिलाता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,पाचन स्वास्थ्य,कब्ज,पाउच,Hindi
Claritine Tablets,20.5,24 घंटे गैर-नींद वाली एलर्जी से राहत प्रदान करता है।,अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Bepanthen Plus Wound Healing Cream,49.0,बिना डंक मारे घाव को कीटाणुरहित करता है और घाव भरने में सहायता करता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। यदि घाव बिगड़ता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,प्राथमिक चिकित्सा,घाव की देखभाल,क्रीम/मरहम,Hindi
Otrivin Nasal Spray Children,20.0,बच्चों के लिए नाक की भीड़ से राहत प्रदान करता है।,लगातार 7 दिनों से अधिक उपयोग न करें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,बच्चों का स्वास्थ्य,नाक बंद,स्प्रे,Hindi
Nutraplus 10% Urea Cream,52.0,गहरी नमी प्रदान करता है और रूखी त्वचा से राहत दिलाता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। बच्चों की पहुंच से दूर रखें।,त्वचा की देखभाल,रूखापन/दरार,क्रीम/मरहम,Hindi
Panadol Night Tablets,25.0,दर्द से राहत दिलाता है और आपको सोने में मदद करता है।,नींद आ सकती है। पैरासिटामोल युक्त अन्य दवाओं के साथ प्रयोग न करें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
Dulcolax Gastro-Resistant Tablets,23.0,कब्ज से धीरे-धीरे रात भर राहत प्रदान करता है।,"यदि आपको पेट दर्द, मतली या उल्टी है तो उपयोग न करें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",पाचन स्वास्थ्य,कब्ज,गोलियाँ,Hindi
Claritine Tablets,50.0,24 घंटे गैर-नींद वाली एलर्जी से राहत प्रदान करता है।,अनुशंसित खुराक से अधिक न लें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Otrivin Adult Nasal Spray,29.5,नाक की भीड़ से तेजी से राहत प्रदान करता है।,लगातार 7 दिनों से अधिक उपयोग न करें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",नाक की भीड़,स्प्रे,Hindi
Boiron Oscillococcinum Quick-Dissolving Pellets,49.0,फ्लू जैसे लक्षणों की अवधि और गंभीरता को कम करता है।,यदि लक्षण बिगड़ते हैं या 3 दिनों से अधिक समय तक बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",फ्लू,गोलियां,Hindi
3M Nexcare Reusable Cold Hot Pack,35.7,पुन: प्रयोज्य गर्म या ठंडी चिकित्सा के साथ सुखदायक दर्द से राहत प्रदान करता है।,सीधे त्वचा पर न लगाएं; हमेशा कपड़े की बाधा का उपयोग करें। यदि दर्द बना रहता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,प्राथमिक चिकित्सा,मांसपेशियों में दर्द,पैच/प्लास्टर,Hindi
Mist Antiseptic First Aid Spray,16.0,जलन और घाव की देखभाल के लिए एंटीसेप्टिक स्प्रे।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। यदि घाव बिगड़ता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,प्राथमिक चिकित्सा,जलन से राहत,स्प्रे,Hindi
Super Cool-X Antiseptic Burn Relief Spray,16.0,मामूली जलन में दर्द से राहत देता है और संक्रमण से बचाता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। बच्चों की पहुंच से दूर रखें।,प्राथमिक चिकित्सा,जलन से राहत,स्प्रे,Hindi
Clear Eyes Triple Action Lubricant,26.0,"एक ट्रिपल-एक्शन फॉर्मूला के साथ सूखी, चिड़चिड़ी आंखों से राहत दिलाता है।","केवल बाहरी उपयोग के लिए। यदि स्थिति बिगड़ती है, तो उपयोग बंद कर दें और डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",नेत्र देखभाल,सूखी आंखें,आई ड्रॉप,Hindi
Otiblock Ear Spray,68.0,साफ़ करता है और ईयरवैक्स के निर्माण को कम करने में मदद करता है।,"यदि उपयोग के बाद आपको दर्द, जलन या चक्कर आते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",प्राथमिक चिकित्सा,श्रवण सहायता,स्प्रे,Hindi
Otiblock Pediatric Ear Drops,58.0,धीरे से साफ़ करता है और बच्चों में ईयरवैक्स के निर्माण को कम करने में मदद करता है।,"डॉक्टर के निर्देशानुसार बच्चों में उपयोग के लिए। यदि उपयोग के बाद आपको दर्द, जलन या चक्कर आते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",बच्चों का स्वास्थ्य,कान का दर्द,बूंदें,Hindi
Otidry MD Ear Spray,69.0,तैराक के कान को रोकने के लिए कान नहर में अतिरिक्त नमी को सुखा देता है।,"यदि उपयोग के बाद आपको दर्द, जलन या चक्कर आते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",प्राथमिक चिकित्सा,श्रवण सहायता,स्प्रे,Hindi
Panadrex Max Paracetamol & Caffeine Tablets,28.0,अतिरिक्त कैफीन के साथ अधिकतम शक्ति दर्द और बुखार से राहत प्रदान करता है।,अनुशंसित खुराक से अधिक न लें। यदि दर्द बना रहता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
Panadrex Max Paracetamol & Caffeine Tablets,50.0,अतिरिक्त कैफीन के साथ अधिकतम शक्ति दर्द और बुखार से राहत प्रदान करता है।,अनुशंसित खुराक से अधिक न लें। यदि दर्द बना रहता है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
Physiologica Hypertonic Seawater Nasal Spray,45.0,प्राकृतिक समुद्री जल से नाक की भीड़ से राहत मिलती है और नाक के मार्ग को साफ करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,एलर्जी और साइनस,नाक की भीड़,स्प्रे,Hindi
Prospan Cough Liquid Sachet,47.0,खांसी से राहत मिलती है और आइवी पत्ती के अर्क से बलगम ढीला होता है।,यदि खांसी बनी रहती है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",खांसी,पाउच,Hindi
Prospan Cough Liquid Menthol,42.0,खांसी से राहत मिलती है और आइवी पत्ती के अर्क और मेन्थॉल के साथ सुखदायक राहत मिलती है।,यदि खांसी बनी रहती है तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",खांसी,सिरप/तरल,Hindi
Compeed Cold Sore Patch,89.0,ठंडे घावों को ठीक करता है और विचारशील सुरक्षा प्रदान करता है।,"केवल बाहरी उपयोग के लिए। यदि स्थिति बिगड़ती है, तो उपयोग बंद कर दें और डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।",त्वचा की देखभाल,संक्रमण,पैच/प्लास्टर,Hindi
Hyopan Syrup,10.5,पेट में ऐंठन और ऐंठन से राहत मिलती है।,यदि आपको ग्लूकोमा है या पेशाब करने में कठिनाई होती है तो उपयोग करने से पहले डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,पाचन स्वास्थ्य,ऐंठन,सिरप/तरल,Hindi
Meva 135mg Tablets,16.0,पेट दर्द और पेट का दर्द से राहत मिलती है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,पाचन स्वास्थ्य,ऐंठन,गोलियाँ,Hindi
Dompy Domperidone Oral Suspension,11.5,मतली और उल्टी से राहत मिलती है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,पाचन स्वास्थ्य,मतली/उल्टी,सिरप/तरल,Hindi
Physiologica Isotonic Sea Water Nasal Spray,43.0,प्राकृतिक समुद्री जल से नाक के मार्ग को साफ करता है।,दैनिक उपयोग के लिए सुरक्षित। यदि जलन होती है तो डॉक्टर से परामर्श लें।,एलर्जी और साइनस,नाक की भीड़,स्प्रे,Hindi
Ayurhoids,38.0,बवासीर से राहत में सहायक है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,पाचन स्वास्थ्य,बवासीर,कैप्सूल,Hindi
Daflon 500mg Tablets,38.0,नस स्वास्थ्य का समर्थन करता है और सूजन को कम करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,विटामिन और सप्लीमेंट्स,,गोलियाँ,Hindi
Fenistil 0.1% Gel,12.0,एलर्जी और त्वचा की जलन के कारण होने वाली खुजली से राहत दिलाता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें।,त्वचा की देखभाल,सूजन/जलन,क्रीम/मलहम,Hindi
Fexodine 180Mg Tabs,17.0,एलर्जी के लक्षणों से राहत प्रदान करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Artiz 10mg Tablets,9.0,एलर्जी के लक्षणों से राहत दिलाता है।,इससे उनींदापन हो सकता है। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Glycilax Children Suppositories,15.5,बच्चों के लिए कब्ज से कोमल राहत।,केवल मलाशय के उपयोग के लिए। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,बच्चों का स्वास्थ्य,कब्ज,सपोसिटरी,Hindi
Simedill Syrup,30.0,गैस और सूजन से राहत दिलाता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,पाचन स्वास्थ्य,गैस/सूजन,सिरप/तरल,Hindi
Casenlax Powder,75.0,कब्ज से राहत दिलाता है।,उपयोग करने से पहले पानी में मिलाएं। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,पाचन स्वास्थ्य,कब्ज,पाउच,Hindi
New Gel Silicone Sheet,225.0,निशान प्रबंधन के लिए मेडिकल-ग्रेड सिलिकॉन शीट।,लगाने से पहले निशान वाले क्षेत्र को साफ और सुखा लें।,त्वचा की देखभाल,निशान,जेल,Hindi
Divido 75Mg Capsules,32.5,इन 75 मिलीग्राम कैप्सूल के साथ बेचैनी से राहत पाएं।,"यदि आप गर्भवती हैं, स्तनपान करा रही हैं, या अन्य दवाएं ले रही हैं तो उपयोग करने से पहले अपने डॉक्टर से परामर्श लें।",विटामिन और सप्लीमेंट्स,विटामिन और सप्लीमेंट्स,कैप्सूल,Hindi
Rupafin 10mg Tablets,40.5,एलर्जी के लक्षणों से तेजी से राहत।,इससे उनींदापन हो सकता है। इस दवा को लेते समय भारी मशीनरी न चलाएं। यदि लक्षण बने रहते हैं तो अपने डॉक्टर से परामर्श लें।,एलर्जी और साइनस,एलर्जी और साइनस,गोलियाँ,Hindi
Cool Tears Pro+ Eye Drops,82.5,"शुष्क, चिड़चिड़ी आँखों के लिए सुखदायक राहत प्रदान करता है।","केवल बाहरी उपयोग के लिए। यदि जलन बनी रहती है, तो उपयोग बंद कर दें और डॉक्टर से परामर्श लें।",नेत्र देखभाल,शुष्क आँखें,आई ड्रॉप,Hindi
Prevalin Allergy Kid,52.48,बच्चों के लिए कोमल एलर्जी से राहत।,निर्देशानुसार प्रयोग करें। यदि लक्षण बिगड़ते हैं तो बाल रोग विशेषज्ञ से परामर्श लें।,बच्चों का स्वास्थ्य,एलर्जी,स्प्रे,Hindi
Kufdrin Syrup,6.5,खांसी और जमाव से राहत दिलाता है।,यदि खांसी 7 दिनों से अधिक समय तक बनी रहती है तो डॉक्टर से परामर्श लें। इससे उनींदापन हो सकता है।,"खांसी, सर्दी और फ्लू",खांसी,सिरप/तरल,Hindi
Opti-Free Pure Moist Contact Lens Solution,55.0,"पूरे दिन के आराम के लिए कॉन्टैक्ट लेंस को साफ, कीटाणुरहित और हाइड्रेट करता है।",सीधे आंख में प्रयोग न करें। उपयोग के बाद हमेशा घोल को त्याग दें। बच्चों की पहुंच से दूर रखें।,नेत्र देखभाल,कॉन्टैक्ट लेंस से संबंधित मुद्दे,कॉन्टैक्ट लेंस सॉल्यूशन प्रकार,Hindi
Tobrin Eye Drops,7.5,जीवाणु नेत्र संक्रमण का इलाज करता है।,"केवल नेत्र संबंधी उपयोग के लिए। उपचार का पूरा कोर्स पूरा करें, भले ही लक्षण बेहतर हो जाएं। यदि लक्षण बिगड़ते हैं तो अपने डॉक्टर से परामर्श लें।",नेत्र देखभाल,संक्रमण/सूजन,आई ड्रॉप,Hindi
Hylo-Comod Eye Drops,61.0,शुष्क आँखों के लिए लंबे समय तक चलने वाला स्नेहन।,"निर्देशानुसार प्रयोग करें। यदि जलन बनी रहती है, तो उपयोग बंद कर दें और डॉक्टर से परामर्श लें।",नेत्र देखभाल,शुष्क आँखें,आई ड्रॉप,Hindi
Duspatalin 135Mg Tabs,48.5,चिड़चिड़ा आंत्र सिंड्रोम (आईबीएस) से जुड़े पेट दर्द और ऐंठन से राहत दिलाता है।,"यदि आप गर्भवती हैं, स्तनपान करा रही हैं, या अन्य दवाएं ले रही हैं तो उपयोग करने से पहले अपने डॉक्टर से परामर्श लें।",पाचन स्वास्थ्य,ऐंठन,गोलियाँ,Hindi
Diclo 75 Id Tabs,55.5,दर्द और सूजन से राहत प्रदान करता है।,इससे पेट खराब हो सकता है। भोजन के साथ लें। यदि आपको अल्सर या रक्तस्राव संबंधी विकारों का इतिहास है तो उपयोग करने से पहले अपने डॉक्टर से परामर्श लें।,दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
Duspatalin Retard Tab,52.5,आईबीएस के लक्षणों से निरंतर राहत के लिए विस्तारित-रिलीज़ फॉर्मूला।,"पूरा निगल लें; कुचलें या चबाएं नहीं। यदि आप गर्भवती हैं, स्तनपान करा रही हैं, या अन्य दवाएं ले रही हैं तो उपयोग करने से पहले अपने डॉक्टर से परामर्श लें।",पाचन स्वास्थ्य,ऐंठन,गोलियाँ,Hindi
Rapidus Tabs,32.0,दर्द और सूजन से तेजी से राहत।,इससे पेट खराब हो सकता है। भोजन के साथ लें। यदि आपको अल्सर या रक्तस्राव संबंधी विकारों का इतिहास है तो उपयोग करने से पहले अपने डॉक्टर से परामर्श लें।,दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
ACC Long Acetylcysteine 600mg Effervescent Tablets,16.5,एक्सपेक्टोरेंट और म्यूकोलाईटिक क्रिया के साथ खांसी से राहत दिलाता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",खांसी,गोलियाँ,Hindi
Clarinase Loratadine & Pseudoephedrine Repetabs,29.5,सर्दी और एलर्जी के लक्षणों से राहत प्रदान करता है।,इससे उनींदापन हो सकता है। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। हृदय की स्थिति वाले लोगों के लिए उपयुक्त नहीं है।,एलर्जी और साइनस,नाक बंद होना,गोलियाँ,Hindi
Lenotac 14mg Piroxicam Pain Relief Patches,91.5,एक औषधीय पैच के साथ लक्षित दर्द से राहत प्रदान करता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। जलन होने पर डॉक्टर से परामर्श लें।,दर्द और बुखार,मांसपेशियों का दर्द,पैच/प्लास्टर,Hindi
Croma Opthalmic Solution,33.0,आंखों की परेशानी से राहत प्रदान करता है।,केवल बाहरी उपयोग के लिए। संदूषण से बचें। जलन होने पर डॉक्टर से परामर्श लें।,नेत्र देखभाल,शुष्क आँखें,समाधान,Hindi
Normal Saline Sodium Chloride 0.9% Solution For Infusion,4.5,तरल पदार्थ और इलेक्ट्रोलाइट प्रतिपूर्ति प्रदान करता है।,चिकित्सा पर्यवेक्षण के तहत प्रशासित करें। द्रव संतुलन की निगरानी करें।,प्राथमिक चिकित्सा,निर्जलीकरण,सिरप/तरल,Hindi
Hylo-Gel Eye Drops,64.0,शुष्क आंखों के लिए गहन स्नेहन प्रदान करता है।,जलन होने पर डॉक्टर से परामर्श लें। उपयोग के लिए निर्देशों का पालन करें।,नेत्र देखभाल,शुष्क आँखें,आँखों के बूँदें,Hindi
Rejuvasil Silicon Scar Gel,200.0,यह निशानों की उपस्थिति को बेहतर बनाने में मदद करता है।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें। जलन होने पर डॉक्टर से परामर्श लें।,त्वचा की देखभाल,निशान,जेल,Hindi
Oki 0.16% Oral Spray,55.0,मुंह के दर्द और सूजन से राहत प्रदान करता है।,आंखों के संपर्क से बचें। जलन होने पर डॉक्टर से परामर्श लें।,प्राथमिक चिकित्सा,मौखिक देखभाल,स्प्रे,Hindi
Amydramine Exp.Syrup,6.5,खांसी के लक्षणों से राहत दिलाता है।,इससे उनींदापन हो सकता है। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,"खांसी, सर्दी और फ्लू",खांसी,सिरप/तरल,Hindi
Voltaren D Diclofenac 50mg Dispersible Tablets,57.0,दर्द और सूजन से राहत प्रदान करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
Voltaren Retard 100mg Diclofenac Tablets,46.5,दर्द और सूजन से लगातार राहत प्रदान करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
Voltaren SR Diclofenac Sodium 75mg Tablets,23.0,दर्द और सूजन से लगातार राहत प्रदान करता है।,यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें। बच्चों की पहुंच से दूर रखें।,दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
Olfen 50Mg Tablets,25.0,दर्द और सूजन से राहत दिलाता है।,"यदि आपको हृदय की स्थिति, पेट के अल्सर या गुर्दे की समस्याओं का इतिहास है तो डॉक्टर से परामर्श लें।",दर्द और बुखार,मांसपेशियों का दर्द,गोलियाँ,Hindi
Lion Arnica Heat Plaster,8.4,मांसपेशियों के दर्द से राहत के लिए सुखदायक गर्मी प्रदान करता है।,टूटी त्वचा पर प्रयोग न करें। जलन होने पर उपयोग बंद कर दें।,दर्द और बुखार,मांसपेशियों का दर्द,पैच/प्लास्टर,Hindi
Ventolin 2Mg/5Ml Syrup,13.5,ब्रोंकोस्पास्म और घरघराहट से राहत दिलाता है।,यदि आपको हृदय की समस्या या उच्च रक्तचाप है तो डॉक्टर से परामर्श लें।,"खाँसी, सर्दी और फ्लू",खाँसी,सिरप/तरल,Hindi
Brufen 600Mg Granules,33.5,"दर्द, बुखार और सूजन को कम करता है।",पेट खराब होने से बचने के लिए भोजन के साथ लें। यदि आपको पेट के अल्सर का इतिहास है तो डॉक्टर से परामर्श लें।,दर्द और बुखार,सरदर्द,गोलियाँ,Hindi
Xyzar Levocetirizine 5mg Tablets,58.5,"एलर्जी के लक्षणों जैसे छींक, नाक बहना और आंखों में खुजली से राहत दिलाता है।",इससे नींद आ सकती है। इस दवा को लेते समय शराब से बचें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Zyrtec 10Mg Tablets,39.5,एलर्जी के लक्षणों से राहत प्रदान करता है।,इससे नींद आ सकती है। इस दवा को लेते समय शराब से बचें।,एलर्जी और साइनस,हे फीवर (एलर्जिक राइनाइटिस),गोलियाँ,Hindi
Hansaplast Foot 2In1 Spray,29.4,फंगल संक्रमण से पैरों को दुर्गन्धित और बचाता है।,आंखों में स्प्रे करने से बचें। बच्चों की पहुंच से दूर रखें।,त्वचा की देखभाल,संक्रमण,स्प्रे,Hindi
Hansaplst Foot Calus Cream,42.0,पैर की उंगलियों को नरम करने और हटाने के लिए गहन क्रीम।,केवल बाहरी उपयोग के लिए। आंखों के संपर्क से बचें।,त्वचा की देखभाल,रूखापन/दरार,क्रीम/मलहम,Hindi
Apisal Singles Vials,33.0,नाक की सफाई और जमाव से राहत के लिए बाँझ खारा घोल।,निर्देशानुसार प्रयोग करें। एकल उपयोग के बाद शीशी को त्याग दें।,एलर्जी और साइनस,नाक का जमाव,स्प्रे,Hindi
Decozal 0.1% Nasal Drops,5.5,सर्दी और एलर्जी के कारण होने वाले नाक के जमाव से राहत दिलाता है।,7 दिनों से अधिक समय तक उपयोग न करें। यदि लक्षण बने रहते हैं तो डॉक्टर से परामर्श लें।,"खांसी, सर्दी और फ्लू",नाक का जमाव,बूंदें,Hindi
